Date,Title,Price,Shipping,Condition,Link,Location,Seller,Feedback,FBScore
2020-03-09 11:37:00,Nintendo Switch HAC-001 Portable Handheld Video Game Console,199.99,0.0,Pre-Owned,https://www.ebay.com/itm/Nintendo-Switch-HAC-001-Portable-Handheld-Video-Game-Console-/164117237138?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Hagerstown', 'Maryland', 'United States']", nubodanit,4772.0,99.3
2020-03-09 10:39:00,Animal Crossing New Horizon Special Edition Nintendo Switch Console CONFIRMED,414.99,7.9,Brand New,https://www.ebay.com/itm/Animal-Crossing-New-Horizon-Special-Edition-Nintendo-Switch-Console-CONFIRMED/124112138053?hash=item1ce5a8ef45:g:mUIAAOSw4GdeZmSd,"['Houston', 'Texas', 'United States']", mohmoh419,88.0,87.5
2020-03-09 08:40:00,Nintendo Switch Handheld Console with Neon Blue and Red BRAND NEW,275.0,26.7,Brand New,https://www.ebay.com/itm/Nintendo-Switch-Handheld-Console-with-Neon-Blue-and-Red-BRAND-NEW-/333537316817?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['McLeansville', 'North Carolina', 'United States']", revkogroup,268.0,100.0
2020-03-09 08:11:00,Animal Crossing New Horizon Special Edition Nintendo Switch Console CONFIRMED,434.99,0.0,Brand New,https://www.ebay.com/itm/Animal-Crossing-New-Horizon-Special-Edition-Nintendo-Switch-Console-CONFIRMED-/202925006992?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Manchester', 'Connecticut', 'United States']", goodfella737,178.0,100.0
2020-03-09 07:55:00,Nintendo Switch with Neon Blue and Neon Red Joy-Con (Newest Model)*,275.0,20.0,Brand New,https://www.ebay.com/itm/Nintendo-Switch-with-Neon-Blue-and-Neon-Red-Joy-Con-Newest-Model-/153845098623?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['San Francisco', 'California', 'United States']", ktru33,3.0,100.0
2020-03-09 07:36:00,*Preorder* Nintendo Switch Animal Crossing New Horizon Console Limited Edition ,450.0,0.0,Brand New,https://www.ebay.com/itm/Preorder-Nintendo-Switch-Animal-Crossing-New-Horizon-Console-Limited-Edition/223940790251?hash=item3423e947eb:g:Lo0AAOSwWBNeZdi7,"['Culver City', 'California', 'United States']", jlchau,112.0,100.0
2020-03-09 04:39:00,Nintendo Switch Console Used with Pokemon Lets Go Evee and pokeball plus used!,242.89,26.7,Pre-Owned,https://www.ebay.com/itm/Nintendo-Switch-Console-Used-with-Pokemon-Lets-Go-Evee-and-pokeball-plus-used/133344826856?hash=item1f0bf895e8:g:pUAAAOSw-AFeVf1t,"['Fort Myers', 'Florida', 'United States']", robhoffman19909,43.0,100.0
2020-03-08 23:02:00,Animal Crossing New Horizon Nintendo Switch Console Preorder Relase Day Shipping,423.0,0.0,Brand New,https://www.ebay.com/itm/Animal-Crossing-New-Horizon-Nintendo-Switch-Console-Preorder-Relase-Day-Shipping/174214608747?hash=item288ffff76b:g:Mw0AAOSw12NeZcYb,"['Portland', 'Maine', 'United States']", i_like_me,28.0,100.0
2020-03-08 20:16:00,Nintendo Switch Game Console with Neon Blue And Red Joy-Cons,249.32,26.64,Refurbished,https://www.ebay.com/itm/Nintendo-Switch-Game-Console-with-Neon-Blue-And-Red-Joy-Cons-/392695651327?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Toronto', 'STATE', 'Canada']", hyperion_tech_sales,14.0,100.0
2020-03-08 18:39:00,Nintendo Switch Console Neon Blue and Neon Red Joy‑Con (Great Condition),246.0,7.5,Pre-Owned,https://www.ebay.com/itm/Nintendo-Switch-Console-Neon-Blue-and-Neon-Red-Joy-Con-Great-Condition-/174207625687?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Franklin', 'Tennessee', 'United States']", owebaldridg-0,48.0,100.0
