Date,Title,Price,Shipping,Condition,Link,Location,Seller,Feedback,FBScore
2020-04-25 11:23:00,Nintendo Switch HAC-001(-01) 32GB Console with Gray Joyâ€‘Con,300.0,50.0,Pre-Owned,https://www.ebay.com/itm/Nintendo-Switch-HAC-001-01-32GB-Console-with-Gray-Joy-Con/402244811149?hash=item5da7a8b98d:g:OAwAAOSwnXRepH4r,"['Agra', 'Oklahoma', 'United States']", chhy6328,0.0,100.0
2020-04-25 11:18:00,Nintendo Switch 32GB Gray Console with Neon Red and Neon Blue Joy-Con,485.0,0.0,Brand New,https://www.ebay.com/itm/Nintendo-Switch-32GB-Gray-Console-with-Neon-Red-and-Neon-Blue-Joy-Con-/324134956923?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Tampa', 'Florida', 'United States']", myennes88,29.0,100.0
2020-04-25 11:07:00,"Nintendo Switch 32GB Console w/ Joycon, 7 Games Total,Including Downloaded Games",490.0,23.15,Open Box,https://www.ebay.com/itm/Nintendo-Switch-32GB-Console-w-Joycon-7-Games-Total-Including-Downloaded-Games/223981781300?hash=item34265ac134:g:u94AAOSw4Apemz7j,"['East Haven', 'Connecticut', 'United States']", djsheila,236.0,100.0
2020-04-25 11:07:00,Nintendo Switch 32GB Gray Console with Neon Red and Neon Blue Joy-Con,435.0,26.7,Pre-Owned,https://www.ebay.com/itm/Nintendo-Switch-32GB-Gray-Console-with-Neon-Red-and-Neon-Blue-Joy-Con-/333578548357?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Silver Spring', 'Maryland', 'United States']", bsumm66,6.0,100.0
2020-04-25 10:52:00,BRAND NEW SEALED NINTENDO SWITCH LITE 32GB GRAY CONSOLE,229.99,4.6,Brand New,https://www.ebay.com/itm/BRAND-NEW-SEALED-NINTENDO-SWITCH-LITE-32GB-GRAY-CONSOLE/274347528101?hash=item3fe0630fa5:g:tKYAAOSwuDtepHVL,"['Sacramento', 'California', 'United States']", rolando20325,67.0,100.0
2020-04-25 10:41:00,Nintendo Switch HAC-001(-01) 32GB Console with Gray Joyâ€‘Con,430.0,23.15,Pre-Owned,https://www.ebay.com/itm/Nintendo-Switch-HAC-001-01-32GB-Console-with-Gray-Joy-Con/254579599625?hash=item3b46206909:g:Sn0AAOSwcwRepHIx,"['Killen', 'Alabama', 'United States']", beowulf494,335.0,100.0
2020-04-25 10:40:00,Nintendo Switch HAC-001(-01) 32GB Console with Gray Joyâ€‘Con and Pro Controller,480.0,0.0,Pre-Owned,https://www.ebay.com/itm/Nintendo-Switch-HAC-001-01-32GB-Console-with-Gray-Joy-Con-and-Pro-Controller/124162085016?hash=item1ce8a31098:g:MpEAAOSw5Xxen2eJ,"['Henning', 'Minnesota', 'United States']", ethan.severson,193.0,100.0
2020-04-25 10:36:00,Nintendo Switch Console 32GB Red Blue Neon Joy-Cons NEW V2 IN HAND SHIPS TODAY,474.99,23.15,Brand New,https://www.ebay.com/itm/Nintendo-Switch-Console-32GB-Red-Blue-Neon-Joy-Cons-NEW-V2-IN-HAND-SHIPS-TODAY/164174325935?hash=item26398d68af:g:JHYAAOSw9EtehiNI,"['Shoreham', 'New York', 'United States']", syph0z,39.0,100.0
2020-04-25 10:33:00,Nintendo Switch 32GB Console with Gray Joyâ€‘Con New Grey SHIPS NOW,464.99,0.0,Brand New,https://www.ebay.com/itm/Nintendo-Switch-32GB-Console-with-Gray-Joy-Con-New-Grey-SHIPS-NOW/254577876904?hash=item3b46061fa8:g:~YkAAOSwjVReg464,"['Batavia', 'Illinois', 'United States']", sneaker2014,9121.0,100.0
2020-04-25 10:29:00,Nintendo Switch Console Red Blue Joy-Cons LATEST MODEL - NEW,475.0,0.0,Brand New,https://www.ebay.com/itm/Nintendo-Switch-Console-Red-Blue-Joy-Cons-LATEST-MODEL-NEW/174261515258?hash=item2892cbb3fa:g:0ZYAAOSwoNpehjHa,"['Hershey', 'Pennsylvania', 'United States']", d.zellers,4619.0,100.0
